index,followers,connections,time_spent,content,content_links,media_type,num_hashtags,hashtag_followers,hashtags,reactions,comments,views,label
5464,18289351,,1 year ago,Interesting read on five steps business can take to help provide a better future of work:  https://virg.in/iR6  100%  #HumanAtWork,"[['https://virg.in/iR6', 'https://virg.in/iR6'], ['https://www.linkedin.com/feed/hashtag/?keywords=humanatwork&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6609388470907486209', '#HumanAtWork']]",article,1,0,"[['#HumanAtWork', 'https://www.linkedin.com/feed/hashtag/?keywords=humanatwork&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6609388470907486209']]",1389,51,,5
30734,38703,500+,2 years ago,We can do much better.,[],image,0,0,[],55,3,,6
2741,263346,500+,1 year ago,"How will artificial intelligence, digital health technologies and patient empowerment improve millions of lives over the next decade? (Yes, it means: including you, within your lifetime.)  My new forecast about the top 5 technologies that are going to rock the health care industry, now in Dow Jones'  MarketWatch , leading business and finance magazine. #themedicalfuturist   #digitalhealth   #future   #healthcare   #medicine   #technology   #fromchancetochoice   #marketwatch   #healthcaretrends   #healthcare2020   #artificialintelligence   #ai 
 
 
 …see more","[['https://www.linkedin.com/company/marketwatch/', 'MarketWatch'], ['https://www.linkedin.com/feed/hashtag/?keywords=themedicalfuturist&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257', '#themedicalfuturist'], ['https://www.linkedin.com/feed/hashtag/?keywords=digitalhealth&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257', '#digitalhealth'], ['https://www.linkedin.com/feed/hashtag/?keywords=future&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257', '#future'], ['https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257', '#healthcare'], ['https://www.linkedin.com/feed/hashtag/?keywords=medicine&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257', '#medicine'], ['https://www.linkedin.com/feed/hashtag/?keywords=technology&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257', '#technology'], ['https://www.linkedin.com/feed/hashtag/?keywords=fromchancetochoice&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257', '#fromchancetochoice'], ['https://www.linkedin.com/feed/hashtag/?keywords=marketwatch&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257', '#marketwatch'], ['https://www.linkedin.com/feed/hashtag/?keywords=healthcaretrends&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257', '#healthcaretrends'], ['https://www.linkedin.com/feed/hashtag/?keywords=healthcare2020&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257', '#healthcare2020'], ['https://www.linkedin.com/feed/hashtag/?keywords=artificialintelligence&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257', '#artificialintelligence'], ['https://www.linkedin.com/feed/hashtag/?keywords=ai&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257', '#ai']]",article,12,0,"[['#themedicalfuturist', 'https://www.linkedin.com/feed/hashtag/?keywords=themedicalfuturist&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257'], ['#digitalhealth', 'https://www.linkedin.com/feed/hashtag/?keywords=digitalhealth&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257'], ['#future', 'https://www.linkedin.com/feed/hashtag/?keywords=future&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257'], ['#healthcare', 'https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257'], ['#medicine', 'https://www.linkedin.com/feed/hashtag/?keywords=medicine&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257'], ['#technology', 'https://www.linkedin.com/feed/hashtag/?keywords=technology&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257'], ['#fromchancetochoice', 'https://www.linkedin.com/feed/hashtag/?keywords=fromchancetochoice&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257'], ['#marketwatch', 'https://www.linkedin.com/feed/hashtag/?keywords=marketwatch&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257'], ['#healthcaretrends', 'https://www.linkedin.com/feed/hashtag/?keywords=healthcaretrends&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257'], ['#healthcare2020', 'https://www.linkedin.com/feed/hashtag/?keywords=healthcare2020&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257'], ['#artificialintelligence', 'https://www.linkedin.com/feed/hashtag/?keywords=artificialintelligence&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257'], ['#ai', 'https://www.linkedin.com/feed/hashtag/?keywords=ai&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6638381266137952257']]",143,9,,5
2635,263346,500+,10 months ago,"Check out this highlight from our newest podcast episode - we analyze the forecasting process and how we can benefit from it during an epidemic.  We talk about the Good Judgment Project and the role of superforecasters. After that, we also touch upon some issues concerning COVID-19 such as the privacy nightmare with smartphone tracking or what should we prepare for when this pandemic ends. If you liked it, listen to the full conversation by subscribing to our Patreon community:  https://lnkd.in/gEDFGW8 #themedicalfuturist   #digitalhealth   #future   #healthcare   #medicine   #technology   #fromchancetochoice   #Patreon   #patreonexclusive   #exclusivecontent   #premiumcontent   #community   #digitalhealthcommunity   #podcast   #forecasting   #forecast   #superforecaster 
 
 
 …see more","[['https://lnkd.in/gEDFGW8', 'https://lnkd.in/gEDFGW8'], ['https://www.linkedin.com/feed/hashtag/?keywords=themedicalfuturist&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#themedicalfuturist'], ['https://www.linkedin.com/feed/hashtag/?keywords=digitalhealth&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#digitalhealth'], ['https://www.linkedin.com/feed/hashtag/?keywords=future&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#future'], ['https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#healthcare'], ['https://www.linkedin.com/feed/hashtag/?keywords=medicine&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#medicine'], ['https://www.linkedin.com/feed/hashtag/?keywords=technology&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#technology'], ['https://www.linkedin.com/feed/hashtag/?keywords=fromchancetochoice&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#fromchancetochoice'], ['https://www.linkedin.com/feed/hashtag/?keywords=patreon&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#Patreon'], ['https://www.linkedin.com/feed/hashtag/?keywords=patreonexclusive&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#patreonexclusive'], ['https://www.linkedin.com/feed/hashtag/?keywords=exclusivecontent&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#exclusivecontent'], ['https://www.linkedin.com/feed/hashtag/?keywords=premiumcontent&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#premiumcontent'], ['https://www.linkedin.com/feed/hashtag/?keywords=community&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#community'], ['https://www.linkedin.com/feed/hashtag/?keywords=digitalhealthcommunity&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#digitalhealthcommunity'], ['https://www.linkedin.com/feed/hashtag/?keywords=podcast&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#podcast'], ['https://www.linkedin.com/feed/hashtag/?keywords=forecasting&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#forecasting'], ['https://www.linkedin.com/feed/hashtag/?keywords=forecast&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#forecast'], ['https://www.linkedin.com/feed/hashtag/?keywords=superforecaster&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240', '#superforecaster']]",video,17,0,"[['#themedicalfuturist', 'https://www.linkedin.com/feed/hashtag/?keywords=themedicalfuturist&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#digitalhealth', 'https://www.linkedin.com/feed/hashtag/?keywords=digitalhealth&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#future', 'https://www.linkedin.com/feed/hashtag/?keywords=future&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#healthcare', 'https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#medicine', 'https://www.linkedin.com/feed/hashtag/?keywords=medicine&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#technology', 'https://www.linkedin.com/feed/hashtag/?keywords=technology&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#fromchancetochoice', 'https://www.linkedin.com/feed/hashtag/?keywords=fromchancetochoice&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#Patreon', 'https://www.linkedin.com/feed/hashtag/?keywords=patreon&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#patreonexclusive', 'https://www.linkedin.com/feed/hashtag/?keywords=patreonexclusive&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#exclusivecontent', 'https://www.linkedin.com/feed/hashtag/?keywords=exclusivecontent&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#premiumcontent', 'https://www.linkedin.com/feed/hashtag/?keywords=premiumcontent&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#community', 'https://www.linkedin.com/feed/hashtag/?keywords=community&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#digitalhealthcommunity', 'https://www.linkedin.com/feed/hashtag/?keywords=digitalhealthcommunity&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#podcast', 'https://www.linkedin.com/feed/hashtag/?keywords=podcast&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#forecasting', 'https://www.linkedin.com/feed/hashtag/?keywords=forecasting&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#forecast', 'https://www.linkedin.com/feed/hashtag/?keywords=forecast&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240'], ['#superforecaster', 'https://www.linkedin.com/feed/hashtag/?keywords=superforecaster&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6664495273764618240']]",16,0,,3
18785,89808,500+,1 year ago,#racism   #career   #work   #money   #equality   #freedom,"[['https://www.linkedin.com/feed/hashtag/?keywords=racism&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6621530622185787393', '#racism'], ['https://www.linkedin.com/feed/hashtag/?keywords=career&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6621530622185787393', '#career'], ['https://www.linkedin.com/feed/hashtag/?keywords=work&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6621530622185787393', '#work'], ['https://www.linkedin.com/feed/hashtag/?keywords=money&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6621530622185787393', '#money'], ['https://www.linkedin.com/feed/hashtag/?keywords=equality&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6621530622185787393', '#equality'], ['https://www.linkedin.com/feed/hashtag/?keywords=freedom&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6621530622185787393', '#freedom']]",article,6,0,"[['#racism', 'https://www.linkedin.com/feed/hashtag/?keywords=racism&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6621530622185787393'], ['#career', 'https://www.linkedin.com/feed/hashtag/?keywords=career&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6621530622185787393'], ['#work', 'https://www.linkedin.com/feed/hashtag/?keywords=work&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6621530622185787393'], ['#money', 'https://www.linkedin.com/feed/hashtag/?keywords=money&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6621530622185787393'], ['#equality', 'https://www.linkedin.com/feed/hashtag/?keywords=equality&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6621530622185787393'], ['#freedom', 'https://www.linkedin.com/feed/hashtag/?keywords=freedom&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6621530622185787393']]",23,2,,6
18527,4026,500+,10 months ago,Looking for something to  #binge ? I've got suggestions! What are you watching? I want to know!,"[['https://www.linkedin.com/feed/hashtag/?keywords=binge&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6655586246720663552', '#binge']]",article,1,0,"[['#binge', 'https://www.linkedin.com/feed/hashtag/?keywords=binge&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6655586246720663552']]",1,0,,6
11564,301184,500+,7 months ago,The world of 21st century communication is amazing.,[],image,0,0,[],122,8,,6
29892,1185109,,5 months ago,"In this episode of the  #KalaariPodcast ,  Divya Gokulnath , Co-founder of  BYJU'S , shares her perspective • Why brand advocacy is a crucial metric for  #customer  retention  • How it's essential not just to start a mission-driven company, but also, stay mission-driven  • How mentors are important to encourage  #womenleaders   • Her approach to building teams for a fast scaling company and how  #tech  plays a vital role in that  When it comes to  #startups , there is no fast track to  #success . Almost all startup teams go through a variety of crises and challenges Behind The Scenes. Having been a part of many startup journeys over the last decade at Kalaari Capital, we believe that there are valuable lessons to be gained from the journeys of others. These episodes from Kalaari come from our continued commitment to empower and encourage  #entrepreneurship . podcasts@kalaari.com https://lnkd.in/enrS2t2 
 
 
 …see more","[['https://www.linkedin.com/feed/hashtag/?keywords=kalaaripodcast&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6712682629189181441', '#KalaariPodcast'], ['https://www.linkedin.com/in/ACoAABs19mkBXMKaQpJ9kTPiQzWuFz0otz7Km_M', 'Divya Gokulnath'], ['https://www.linkedin.com/company/byjus/', ""BYJU'S""], ['https://www.linkedin.com/feed/hashtag/?keywords=customer&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6712682629189181441', '#customer'], ['https://www.linkedin.com/feed/hashtag/?keywords=womenleaders&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6712682629189181441', '#womenleaders'], ['https://www.linkedin.com/feed/hashtag/?keywords=tech&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6712682629189181441', '#tech'], ['https://www.linkedin.com/feed/hashtag/?keywords=startups&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6712682629189181441', '#startups'], ['https://www.linkedin.com/feed/hashtag/?keywords=success&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6712682629189181441', '#success'], ['https://www.linkedin.com/feed/hashtag/?keywords=entrepreneurship&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6712682629189181441', '#entrepreneurship'], ['mailto:podcasts@kalaari.com', 'podcasts@kalaari.com'], ['https://lnkd.in/enrS2t2', 'https://lnkd.in/enrS2t2']]",video,7,0,"[['#KalaariPodcast', 'https://www.linkedin.com/feed/hashtag/?keywords=kalaaripodcast&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6712682629189181441'], ['#customer', 'https://www.linkedin.com/feed/hashtag/?keywords=customer&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6712682629189181441'], ['#womenleaders', 'https://www.linkedin.com/feed/hashtag/?keywords=womenleaders&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6712682629189181441'], ['#tech', 'https://www.linkedin.com/feed/hashtag/?keywords=tech&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6712682629189181441'], ['#startups', 'https://www.linkedin.com/feed/hashtag/?keywords=startups&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6712682629189181441'], ['#success', 'https://www.linkedin.com/feed/hashtag/?keywords=success&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6712682629189181441'], ['#entrepreneurship', 'https://www.linkedin.com/feed/hashtag/?keywords=entrepreneurship&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6712682629189181441']]",115,3,,4
27269,408254,500+,7 months ago,"“Life has always been about hustle and survival and sacrifice,” says  Baron Davis  on the latest episode of  #ThinkAboutThis  with Shelly Palmer &  Ross Martin . Hear about the lessons he’s learned (both on and off the court) as well as how he strives to outwork the competition every day. 
 
 
 …see more","[['https://www.linkedin.com/in/ACoAACOznKMBqEagyMhWl_x2Ap9LEntBXY9fQGE', 'Baron Davis'], ['https://www.linkedin.com/feed/hashtag/?keywords=thinkaboutthis&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6686670206229708800', '#ThinkAboutThis'], ['https://www.linkedin.com/in/ACoAAABiACABHCoPSFgVkpQEeu7dVQ2aykkbO58', 'Ross Martin']]",article,1,0,"[['#ThinkAboutThis', 'https://www.linkedin.com/feed/hashtag/?keywords=thinkaboutthis&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6686670206229708800']]",7,0,,4
3710,263346,500+,2 years ago,"I just had the greatest time giving the opening keynote at the  TraceLink  event in Chicago. I talked about how digital health is shaping healthcare, make patients the point-of-care and what companies in the supply chain could do to bring science fiction-like technologies to patients.  Many thanks to  Evren Ozkaya  for the photo! #keynote   #speaker   #future   #digitalhealth   #AI   #healthcare   #supplychain 
 
 
 …see more","[['https://www.linkedin.com/company/tracelink/', 'TraceLink'], ['https://www.linkedin.com/in/ACoAAAA-pVIB5-4YMpMdGkTttYDDNzzEy9qC7gw', 'Evren Ozkaya'], ['https://www.linkedin.com/feed/hashtag/?keywords=keynote&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6465818217955889152', '#keynote'], ['https://www.linkedin.com/feed/hashtag/?keywords=speaker&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6465818217955889152', '#speaker'], ['https://www.linkedin.com/feed/hashtag/?keywords=future&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6465818217955889152', '#future'], ['https://www.linkedin.com/feed/hashtag/?keywords=digitalhealth&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6465818217955889152', '#digitalhealth'], ['https://www.linkedin.com/feed/hashtag/?keywords=ai&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6465818217955889152', '#AI'], ['https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6465818217955889152', '#healthcare'], ['https://www.linkedin.com/feed/hashtag/?keywords=supplychain&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6465818217955889152', '#supplychain']]",image,7,0,"[['#keynote', 'https://www.linkedin.com/feed/hashtag/?keywords=keynote&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6465818217955889152'], ['#speaker', 'https://www.linkedin.com/feed/hashtag/?keywords=speaker&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6465818217955889152'], ['#future', 'https://www.linkedin.com/feed/hashtag/?keywords=future&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6465818217955889152'], ['#digitalhealth', 'https://www.linkedin.com/feed/hashtag/?keywords=digitalhealth&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6465818217955889152'], ['#AI', 'https://www.linkedin.com/feed/hashtag/?keywords=ai&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6465818217955889152'], ['#healthcare', 'https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6465818217955889152'], ['#supplychain', 'https://www.linkedin.com/feed/hashtag/?keywords=supplychain&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6465818217955889152']]",418,17,,2
