index,followers,connections,time_spent,content,content_links,media_type,num_hashtags,hashtag_followers,hashtags,reactions,comments,views,label
33464,64548,500+,1 year ago,"In my latest  Forbes  article, I share how to maximize the “power of the pause” to grow your career. #career   #leadership   #progress 
 
 
 …see more","[['https://www.linkedin.com/company/forbes-magazine/', 'Forbes'], ['https://www.linkedin.com/feed/hashtag/?keywords=career&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6642768915472752640', '#career'], ['https://www.linkedin.com/feed/hashtag/?keywords=leadership&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6642768915472752640', '#leadership'], ['https://www.linkedin.com/feed/hashtag/?keywords=progress&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6642768915472752640', '#progress']]",article,3,0,"[['#career', 'https://www.linkedin.com/feed/hashtag/?keywords=career&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6642768915472752640'], ['#leadership', 'https://www.linkedin.com/feed/hashtag/?keywords=leadership&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6642768915472752640'], ['#progress', 'https://www.linkedin.com/feed/hashtag/?keywords=progress&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6642768915472752640']]",179,110,,1
27259,408254,500+,7 months ago,The world is changing. You know you need to change too. The Life Plan Roadmap Template will help. Learn more.,[],article,0,0,[],2,0,,6
7284,2417012,,10 months ago,"Today's 1.4% gain in the S&P, with 85% of the  #stocks  higher, reduced its weekly loss to just 1.3%--not bad for a week that saw a major financial dislocations in  #oil , horrible economic numbers out of Europe and the US, and more evidence of the mounting risk of structural damage. 
 
 
 …see more","[['https://www.linkedin.com/feed/hashtag/?keywords=stocks&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6659547916870438912', '#stocks'], ['https://www.linkedin.com/feed/hashtag/?keywords=oil&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6659547916870438912', '#oil']]",image,2,0,"[['#stocks', 'https://www.linkedin.com/feed/hashtag/?keywords=stocks&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6659547916870438912'], ['#oil', 'https://www.linkedin.com/feed/hashtag/?keywords=oil&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6659547916870438912']]",489,56,,5
23724,661723,500+,1 year ago,Can’t wait till tomorrow!  #radicalcpa   #fraud   #accountingfirm   #aicpa   #cpaexam,"[['https://www.linkedin.com/feed/hashtag/?keywords=radicalcpa&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6602347414277943297', '#radicalcpa'], ['https://www.linkedin.com/feed/hashtag/?keywords=fraud&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6602347414277943297', '#fraud'], ['https://www.linkedin.com/feed/hashtag/?keywords=accountingfirm&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6602347414277943297', '#accountingfirm'], ['https://www.linkedin.com/feed/hashtag/?keywords=aicpa&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6602347414277943297', '#aicpa'], ['https://www.linkedin.com/feed/hashtag/?keywords=cpaexam&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6602347414277943297', '#cpaexam']]",image,5,0,"[['#radicalcpa', 'https://www.linkedin.com/feed/hashtag/?keywords=radicalcpa&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6602347414277943297'], ['#fraud', 'https://www.linkedin.com/feed/hashtag/?keywords=fraud&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6602347414277943297'], ['#accountingfirm', 'https://www.linkedin.com/feed/hashtag/?keywords=accountingfirm&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6602347414277943297'], ['#aicpa', 'https://www.linkedin.com/feed/hashtag/?keywords=aicpa&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6602347414277943297'], ['#cpaexam', 'https://www.linkedin.com/feed/hashtag/?keywords=cpaexam&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6602347414277943297']]",16,3,,6
26477,300691,500+,3 years ago,Why Facebook Shouldn’t Be Allowed to Buy tbh,[],article,0,0,[],24,2,,6
7799,1268865,,2 years ago,"In Houston, April 18, Thursday. 8PM.  Q&A, Comedy, Talk, Hanging out.  Respond to this with the number of people in your group and I'll comp everyone in and drinks on me while there are still tickets.  Location: The Joke Joint. 8PM https://lnkd.in/dvFPuSQ #comedy   #entrepreneurship 
 
 
 …see more","[['https://lnkd.in/dvFPuSQ', 'https://lnkd.in/dvFPuSQ'], ['https://www.linkedin.com/feed/hashtag/?keywords=comedy&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6522182187310149632', '#comedy'], ['https://www.linkedin.com/feed/hashtag/?keywords=entrepreneurship&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6522182187310149632', '#entrepreneurship']]",article,2,0,"[['#comedy', 'https://www.linkedin.com/feed/hashtag/?keywords=comedy&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6522182187310149632'], ['#entrepreneurship', 'https://www.linkedin.com/feed/hashtag/?keywords=entrepreneurship&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6522182187310149632']]",51,0,,6
26626,300691,500+,3 years ago,The “free” economy comes at a cost,[],article,0,0,[],24,1,,6
26143,300691,500+,2 years ago,Financial UX Design is About Saving People's Lives,[],article,0,0,[],8,0,,6
5692,18289351,,1 year ago,Holly on why  #purpose  is so powerful for business  https://virg.in/iMT,"[['https://www.linkedin.com/feed/hashtag/?keywords=purpose&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6592093246611046400', '#purpose'], ['https://virg.in/iMT', 'https://virg.in/iMT']]",article,1,0,"[['#purpose', 'https://www.linkedin.com/feed/hashtag/?keywords=purpose&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6592093246611046400']]",633,25,,6
3104,263346,500+,1 year ago,"There is an amazing country that uses digital health in the right way! In the keynote I gave about Privacy in the Digital Health Era at the recent GLOBSEC event, I analyzed patients' freedom of choice from the digital health perspective. 1) In China, the freedom of choice patients have about digital health technologies is limited because the government makes them use A.I. and other ways of obtaining data about them. 2) In Rwanda, the freedom of choice is there but limited as otherwise they don't get access to healthcare, only through digital health technologies. 3) In the US, patients have a lot of freedom of choice but without proper incentives, medical professionals are not encouraged to get involved. Which country's example do you think I used as the best in the world? Please cast your vote by leaving a comment. #themedicalfuturist   #digitalhealth   #future   #healthcare   #medicine   #technology   #fromchancetochoice   #speaker   #keynote   #speakerlife 
 
 
 …see more","[['https://www.linkedin.com/feed/hashtag/?keywords=themedicalfuturist&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080', '#themedicalfuturist'], ['https://www.linkedin.com/feed/hashtag/?keywords=digitalhealth&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080', '#digitalhealth'], ['https://www.linkedin.com/feed/hashtag/?keywords=future&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080', '#future'], ['https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080', '#healthcare'], ['https://www.linkedin.com/feed/hashtag/?keywords=medicine&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080', '#medicine'], ['https://www.linkedin.com/feed/hashtag/?keywords=technology&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080', '#technology'], ['https://www.linkedin.com/feed/hashtag/?keywords=fromchancetochoice&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080', '#fromchancetochoice'], ['https://www.linkedin.com/feed/hashtag/?keywords=speaker&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080', '#speaker'], ['https://www.linkedin.com/feed/hashtag/?keywords=keynote&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080', '#keynote'], ['https://www.linkedin.com/feed/hashtag/?keywords=speakerlife&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080', '#speakerlife']]",video,10,0,"[['#themedicalfuturist', 'https://www.linkedin.com/feed/hashtag/?keywords=themedicalfuturist&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080'], ['#digitalhealth', 'https://www.linkedin.com/feed/hashtag/?keywords=digitalhealth&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080'], ['#future', 'https://www.linkedin.com/feed/hashtag/?keywords=future&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080'], ['#healthcare', 'https://www.linkedin.com/feed/hashtag/?keywords=healthcare&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080'], ['#medicine', 'https://www.linkedin.com/feed/hashtag/?keywords=medicine&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080'], ['#technology', 'https://www.linkedin.com/feed/hashtag/?keywords=technology&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080'], ['#fromchancetochoice', 'https://www.linkedin.com/feed/hashtag/?keywords=fromchancetochoice&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080'], ['#speaker', 'https://www.linkedin.com/feed/hashtag/?keywords=speaker&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080'], ['#keynote', 'https://www.linkedin.com/feed/hashtag/?keywords=keynote&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080'], ['#speakerlife', 'https://www.linkedin.com/feed/hashtag/?keywords=speakerlife&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6562688209049006080']]",33,6,,2
