index,followers,connections,time_spent,content_links,media_type,num_hashtags,hashtag_followers,hashtags,reactions,comments,views,content,label
4,6484.0,500+,2 months ago,"[['https://www.linkedin.com/in/ACoAABhNxDUB9IXCvNnWTppxTb-kQHTN2-m93Ek', 'Ervin Dimeny'], ['https://www.linkedin.com/company/urban-institute/', 'Urban Institute'], ['https://www.linkedin.com/in/ACoAAACy1HkBviRGLfLG__Jk8FRH2JY2rGg3nTU', 'Robert Lerman'], ['https://www.linkedin.com/in/ACoAACP0KRMB7NUt6BifQ29_-CzvBWdQJ8GnoGc', 'Daniel Kuehn'], ['https://www.linkedin.com/in/ACoAAAZ1buwBY4oZJmTgyghpBm3RMPFDFAW5L_o', 'Pamela Loprest'], ['https://www.linkedin.com/feed/hashtag/?keywords=verifiedresumes&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6743216346424852480', '#verifiedresumes'], ['https://www.linkedin.com/feed/hashtag/?keywords=research&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6743216346424852480', '#research'], ['https://www.linkedin.com/feed/hashtag/?keywords=training&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6743216346424852480', '#training']]",article,3,0,"[['#verifiedresumes', 'https://www.linkedin.com/feed/hashtag/?keywords=verifiedresumes&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6743216346424852480'], ['#research', 'https://www.linkedin.com/feed/hashtag/?keywords=research&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6743216346424852480'], ['#training', 'https://www.linkedin.com/feed/hashtag/?keywords=training&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6743216346424852480']]",22,2,,"I count myself fortunate to have spent time with Brooklyn-born Arnold Packer. Arnold was the Assistant Secretary for Policy, Evaluation, and Research in the U.S. Department of Labor during the Carter administration. His insights and innovative thinking around economics, employment and training policies helped many people, particularly young people to reach their full potential.  Arnold passed away aged 85 in mid-October. The last project we were working up with my colleage  Ervin Dimeny  was around verified resumes. Thanks to the  Urban Institute  report by  Robert Lerman   Daniel Kuehn  and  Pamela Loprest   - wonderful insights into the topic.  Love to hear your thoughts on  #verifiedresumes  - join the conversation. Stay safe.  #research   #training 
 
 
 …see more",Others
23,6484.0,500+,10 months ago,"[['https://lnkd.in/exKRtb6', 'https://lnkd.in/exKRtb6'], ['https://www.linkedin.com/company/training-industry-inc-/', 'Training Industry, Inc.']]",image,0,0,[],22,1,,"No-one can be sure how America will ‘snap back’ after the danger of COVID-19 passes. But, we do know skills such as numeracy, literacy, manufacturing and healthcare will always be valued and needed. My thoughts on two ways to pivot off existing approaches to meld a way forward. Read the full article here https://lnkd.in/exKRtb6  Thanks to  Training Industry, Inc. 
 
 
 …see more",Educational Resources
28,6484.0,500+,11 months ago,"[['https://lnkd.in/evGsZSH', 'https://lnkd.in/evGsZSH'], ['https://www.linkedin.com/feed/hashtag/?keywords=apprenticeships&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6648542966300368896', '#apprenticeships'], ['https://www.linkedin.com/feed/hashtag/?keywords=caronavirus&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6648542966300368896', '#caronavirus'], ['https://www.linkedin.com/feed/hashtag/?keywords=stimuluspackage&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6648542966300368896', '#stimuluspackage'], ['https://www.linkedin.com/feed/hashtag/?keywords=workers&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6648542966300368896', '#workers'], ['https://www.linkedin.com/feed/hashtag/?keywords=governments&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6648542966300368896', '#governments']]",article,5,0,"[['#apprenticeships', 'https://www.linkedin.com/feed/hashtag/?keywords=apprenticeships&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6648542966300368896'], ['#caronavirus', 'https://www.linkedin.com/feed/hashtag/?keywords=caronavirus&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6648542966300368896'], ['#stimuluspackage', 'https://www.linkedin.com/feed/hashtag/?keywords=stimuluspackage&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6648542966300368896'], ['#workers', 'https://www.linkedin.com/feed/hashtag/?keywords=workers&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6648542966300368896'], ['#governments', 'https://www.linkedin.com/feed/hashtag/?keywords=governments&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6648542966300368896']]",10,0,,"We've known since the Great Depression that significant government intervention during an economic crisis can stop a disastrous downward spiral. But, stimulus packages vary widely in their intended targets and effects. What are governments doing specifically for workers?  https://lnkd.in/evGsZSH   #apprenticeships   #caronavirus   #stimuluspackage   #workers   #governments 
 
 
 …see more",Others
37,6484.0,500+,1 year ago,"[['https://www.linkedin.com/feed/hashtag/?keywords=apprenticeship&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6602969720117346304', '#apprenticeship']]",video,1,0,"[['#apprenticeship', 'https://www.linkedin.com/feed/hashtag/?keywords=apprenticeship&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6602969720117346304']]",31,4,,"Great to talk with Fox Business today on why companies should invest in Apprenticeship ?  I know many people reading this have already invested and they see the returns first hand every day.  Love to hear your experience.  For those considering taking on an apprentice or starting a program - here is some compelling reasons to give it a go... Firstly, an apprenticeship  program is one of the best investments a firm can make - U.S. Department of Labor statistics show that companies with apprenticeship programs earnt a return on investment of $1.46 for each dollar invested.  That is an average - in some sectors the ROI has been estimated at as much as $11 for every dollar invested !   Apprenticeship programs also provide employers with opportunities to improve workplace productivity, improve workforce diversity and build a pipeline of workers with the precise skills needed in your workplace (now and into the future). They can help shape the employee to your workplace culture and can strengthen your brand as an employer of choice; and finally boost employee retention.   #apprenticeship Watch: 
 
 
 …see more",Trends
51,6484.0,500+,2 years ago,"[['https://www.linkedin.com/feed/hashtag/?keywords=apprenticeship&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6489734505123893248', '#apprenticeship']]",article,1,0,"[['#apprenticeship', 'https://www.linkedin.com/feed/hashtag/?keywords=apprenticeship&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6489734505123893248']]",27,1,,"Where can an  #apprenticeship  take you ? Great insight by workforce champion, retired US Marine and proud Kentuckian Steve Tressler.",Others
56,6484.0,500+,2 years ago,"[['https://www.linkedin.com/feed/hashtag/?keywords=future&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6448070575763046400', '#future'], ['https://www.linkedin.com/feed/hashtag/?keywords=workforcedevelopment&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6448070575763046400', '#workforcedevelopment'], ['https://www.linkedin.com/feed/hashtag/?keywords=forbes&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6448070575763046400', '#forbes']]",article,3,0,"[['#future', 'https://www.linkedin.com/feed/hashtag/?keywords=future&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6448070575763046400'], ['#workforcedevelopment', 'https://www.linkedin.com/feed/hashtag/?keywords=workforcedevelopment&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6448070575763046400'], ['#forbes', 'https://www.linkedin.com/feed/hashtag/?keywords=forbes&highlightedUpdateUrns=urn%3Ali%3Aactivity%3A6448070575763046400']]",24,0,,"We are experiencing what some call a ""tsunami of technological change,"" the effects of which may be as disruptive for us as the industrial revolution was for people in the 19th century. My thoughts on the subject....  #future   #workforcedevelopment   #forbes 
 
 
 …see more",Others
70,6484.0,500+,3 years ago,[],article,0,0,[],18,1,,"McKinsey report says as many as 375 million workers may need to switch occupational categories as digitization, automation, and advances in artificial intelligence disrupt the world of work. The kinds of skills companies require will shift, with profound implications for the career paths individuals will need to pursue. 
 
 
 …see more",Professional Growth
75,6484.0,500+,3 years ago,"[['https://www.linkedin.com/company/ibm/', 'IBM'], ['https://www.linkedin.com/in/ACoAAAnYzWwBLWOGWhpalNO5iaiYi9Javu4TxLQ', 'Jade Moffat Herman'], ['https://www.linkedin.com/in/ACoAAAzDh6wBOeZqRnp9XtyoKDDOkM0pxfS6G5s', 'Amy-Lou Cowdroy-Ling'], ['https://www.linkedin.com/in/ACoAAAK1kaIBIyd83ufb0f2jp5V4FoTQcg1THg0', 'Janine McPhee'], ['https://www.linkedin.com/in/ACoAAAV7ksYBgMVgaFZY1-RUO3F8Jb2XvFyy510', 'Nathan Ellery'], ['https://www.linkedin.com/in/ACoAAAMFCqIBFQGkmz6uU8LUcIo14mI3-8h9sZw', 'Rashid Ferrod Davis'], ['https://www.linkedin.com/in/ACoAAAGzUcEBR7Zr9hef4DbN9OSWmQ4XkXFrstg', 'Sharna Peters'], ['https://www.linkedin.com/in/ACoAAAC4EncBoI7qoe_gDt3513L6HtfKPw7omxA', 'Louise Davis']]",image,0,0,[],52,5,,"Students in Darwin in Australia’s Top End will gain valuable real-world skills in science, technology, engineering and mathematics (STEM), thanks to the Pathways in Technology (P-TECH) Australia program. Exciting that Casuarina Senior College in Darwin is the first P-TECH in the Northern Territory. P-TECH is an innovative model of collaboration between education and industry and will provide an industry supported pathway for young people in the NT and build the skills they need for the jobs of the 21st century. Maritime and defence industries are growing quickly in the NT so the Australian Industry and Defence Network will be a key partner on this P-TECH. I was pleased to join the conversation at the inagural planning meeting with energized employers and educators at Casuarina Senior College last week. The first P-TECH school was established in the US by  IBM  in 2011 in collaboration with the New York City Department of Education, The City University of New York, and the New York City College of Technology. IBM is the industry partner for the Ballarat Federation College Partnership. #STEM Jade Moffat Herman   Amy-Lou Cowdroy-Ling   Janine McPhee   Nathan Ellery   Rashid Ferrod Davis   Sharna Peters   Louise Davis 
 
 
 …see more",Interactive Promotions
81,6484.0,500+,3 years ago,"[['https://lnkd.in/dQ9auQn', 'https://lnkd.in/dQ9auQn'], ['https://www.linkedin.com/in/ACoAAACy1HkBviRGLfLG__Jk8FRH2JY2rGg3nTU', 'Robert Lerman']]",article,0,0,[],13,0,,"Interested in reading some more on US Apprenticeship ? One resource mentioned in this article thats full of blogs, data and country comparisons can be found here   https://lnkd.in/dQ9auQn  site by  Robert Lerman",Others
104,6484.0,500+,4 years ago,[],article,0,0,[],3,0,,"Those interested in innovation in education might like to read this IBM pledge of 25,000 job growth and its links to the P TECH model.",Others
126,2462.0,500+,6 years ago,"[['https://lnkd.in/bDi7zuV', 'https://lnkd.in/bDi7zuV']]",article,0,0,[],0,0,,https://lnkd.in/bDi7zuV,Others
132,88720.0,500+,1 month ago,[],image,0,0,[],8,3,,Participate in this free event on Jan. 27th on whether schools can be places for healing trauma.  And we most assuredly need to heal....5:00 pm. so it works for educators.  Take care and be safe.,Events
150,88720.0,500+,2 months ago,[],article,0,0,[],2,0,,Trauma Anniversaries: They are Upon Us. Consider this course at Rutgers Graduate School of Social Work.  Open to all. Reasonable fee. Dec. 9th from 9:00 a.m -- noon. Concrete strategies. Register here:,Educational Resources
154,88720.0,500+,2 months ago,"[['https://lnkd.in/ePJH6YN', 'https://lnkd.in/ePJH6YN']]",article,0,0,[],2,1,,"As “holiday” ends, are you feeling strangely?  Are you struggling to identify your feelings?  Me too. Together with Dr. Ed Wang of Harvard, we developed The Feeling Alphabet Activity Set.  Try it.  Do it as a family or with friends — remotely works. If you can name feelings, you  can tame them.  Available for download for $4.99 at:  https://lnkd.in/ePJH6YN Family and friends across globe can each get one and share activities.  Share positive and negative feelings (3 positives for every 1 negative).   Share favorite activities.  An activity for our time.  Try it.  It will help.... 
 
 
 …see more",Others
160,88720.0,500+,2 months ago,[],article,0,0,[],0,0,,"For those with empty seats at Thanksgiving and beyond, that is why I am offering a course on trauma anniversaries at Rutgers Grad School of Social Work on Dec. 9 from  -- -- noon.  All are welcome. Reasonably priced. Strategies offered and a case study too.  Register at: 
 
 
 …see more",Events
166,88720.0,500+,2 months ago,[],image,0,0,[],17,3,,"Despite the upbeat news on the vaccines, I think we are struggling mightily across the nation with three key issues: (1) Pandemic fatigue including Zoom fatigue; (2) Absence of interpersonal touch and connectivity; and (3) Upcoming holidays and ""tradition"" changes that distance us.  In a sense, the second ""surge"" feels, at least to some of us, worse than the first surge; the numbers are perilously high; we have a dysfunctional transition of power (whatever your political persuasion) that is harming our nation. Some of us have become more isolated than perhaps even necessary due to fear as others flaunt mandates and best practices.   In a sense, we are unaccustomed and unprepared for what is happening in our nation.  We can rightly ask: how do we move forward with grace and wisdom and perspective?  What compensatory mechanisms can we deploy to help all those who need help? And, what about our children and their ability to navigate forward?   I have one thought: I have hope.  I still believe despite some evidence to the contrary that people are decent and caring and at the end of the day, the better side of humanity and the wiser voices will rise to the top and be seen and heard.  I still have hope.   Do you? 
 
 
 …see more",Others
172,88720.0,500+,3 months ago,"[['https://lnkd.in/eaWQeJ6', 'https://lnkd.in/eaWQeJ6']]",article,0,0,[],6,0,,"The absence of a concession by Trump is but one of the difficult issues our students need to process and understand.  I just published a free download for educators on how to discuss the election in a non-partisan way. Once the concession issues are unfolded and addressed, I will add more to the list of teaching tools. I have also recognized that in a world of online learning, some of my books need to be made available as PDFs. That now includes the Tongue Twister book and the Lady Lucy Laugh Giraffe book, both of which are trauma responsive. They can be found at  https://lnkd.in/eaWQeJ6 .  In terms of resources, there is also a Trauma Toolbox How To Guide and The Feeling Alphabet Activity Set, also available at a reasonable price on my website. Finally, I am working on a Holiday Kit -- a type of trauma responsive bag that will help children and families navigate the inevitable changes of the coming holiday season (no Santa's lap; no in person caroling in close proximity.  Please access these resources.  Our children need them -- the amount of trauma is real and not declining. 
 
 
 …see more",Educational Resources
188,88720.0,500+,4 months ago,"[['https://lnkd.in/e2QMwrZ', 'https://lnkd.in/e2QMwrZ']]",article,0,0,[],6,1,,"Voices of educators as to how to improve online learning.  A worthy read ..... myriad of suggestions.  https://lnkd.in/e2QMwrZ 
 
 
 …see more",Educational Resources
